Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
Australian Capital Territory,Australia,-35.4735,149.0124,29-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,29-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,29-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,29-02-2020,9,0,1,8,Western Pacific
South Australia,Australia,-34.9285,138.6007,29-02-2020,3,0,2,1,Western Pacific
Tasmania,Australia,-41.4545,145.9707,29-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,29-02-2020,7,0,4,3,Western Pacific
Western Australia,Australia,-31.9505,115.8605,29-02-2020,2,0,0,2,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,01-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,01-03-2020,6,0,4,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,01-03-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,01-03-2020,9,0,1,8,Western Pacific
South Australia,Australia,-34.9285,138.6007,01-03-2020,3,0,2,1,Western Pacific
Tasmania,Australia,-41.4545,145.9707,01-03-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,01-03-2020,7,0,4,3,Western Pacific
Western Australia,Australia,-31.9505,115.8605,01-03-2020,2,1,0,1,Western Pacific
